"3553"	[1755767548000000000, "2018-05-01"]
"3220"	[2301380000000000000, "2018-04-01"]
"4614"	[500000000000000000, "2018-07-01"]
"2833"	[6976084860000000000, "2018-02-01"]
"5613"	[2939000000000000000, "2018-09-01"]
"4693"	[5062017697000000000, "2018-07-01"]
"3487"	[13387694650000000000, "2018-04-01"]
"2459"	[140630000000000000, "2017-12-01"]
"2920"	[26248312945332336786, "2018-03-01"]
"5010"	[13495966001000000000, "2018-07-01"]
"5821"	[57303950000000000, "2018-10-01"]
"3944"	[39326554390000000000, "2018-03-01"]
"4281"	[1238318290000000000, "2018-06-01"]
"6599"	[4000000000000000000, "2019-04-01"]
"5248"	[1000000000000000000, "2018-08-01"]
"3676"	[342228680000000000, "2018-05-01"]
"2718"	[13423922787718969775, "2018-01-01"]
"3110"	[17410431650000000000, "2018-03-01"]
"5158"	[7740000000000000000, "2018-08-01"]
"4309"	[15506651973000000000, "2018-06-01"]
"6338"	[20966034701000000000, "2019-05-01"]
"4401"	[12306809480000000000, "2018-06-01"]
"5143"	[15629031670000000000, "2018-08-01"]
"5492"	[4586617722000000000, "2019-03-01"]
"4793"	[7650743780000000000, "2018-08-01"]
"2152"	[430554834542470421225, "2017-08-01"]
"3504"	[7830000000000000000, "2018-05-01"]
"4219"	[4428431570000000000, "2018-06-01"]
"3916"	[31359952666000000000, "2018-06-01"]
"2258"	[94550701858827583347, "2018-01-01"]
"2675"	[61210560090000000000, "2018-01-01"]
"4208"	[22290404215580889560, "2018-06-01"]
"2161"	[19340000000000000000, "2017-08-01"]
"3148"	[504000000000000000, "2018-03-01"]
"5238"	[2033321700000000000, "2018-08-01"]
"4228"	[4300000000000000000, "2018-05-01"]
"2687"	[101391470768089280699, "2018-01-01"]
"5227"	[35785829467696090082, "2018-08-01"]
"2460"	[200000000000000000, "2017-11-01"]
"5592"	[2498200000000000000, "2018-09-01"]
"3514"	[2070000000000000000, "2018-05-01"]
"6722"	[2144620000000000000, "2019-06-01"]
"4479"	[34581587440000000000, "2018-07-01"]
"6736"	[505000000000000000, "2019-05-01"]
"3238"	[7116873640000000000, "2018-04-01"]
"2173"	[107427604635842894891, "2017-09-01"]
"5475"	[2778444260000000000, "2018-08-01"]
"3792"	[14834167037607215470, "2018-06-01"]
"2807"	[68880546609941907383, "2018-02-01"]
"6029"	[18754468450000000000, "2018-11-01"]
"3898"	[4491964210000000000, "2018-05-01"]
"3158"	[69152975650000000000, "2018-03-01"]
"2182"	[31807220000000000000, "2017-09-01"]
"3064"	[10963550428274227224, "2018-03-01"]
"3219"	[14479882640000000000, "2018-04-01"]
"3895"	[15482371880000000000, "2018-05-01"]
"5005"	[608835310000000000, "2018-04-01"]
"5855"	[2690420000000000000, "2018-09-01"]
"4082"	[17293246150000000000, "2018-06-01"]
"3793"	[3098197390000000000, "2018-05-01"]
